source_file,policy,pressure,workload,scan_id,offset_after_scan,request_id,ok,prompt_tokens,cached_tokens,hit_rate,ttft_ms,latency_ms
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,29,w4-hot-000140,True,300,274,0.9133333333333333,645.2476121485233,645.2476121485233
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,30,w4-hot-000141,True,333,307,0.9219219219219219,642.8142078220844,642.8142078220844
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,31,w4-hot-000142,True,366,340,0.9289617486338798,644.1285684704781,644.1285684704781
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,32,w4-hot-000143,True,400,374,0.935,643.8010260462761,643.8010260462761
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,1,w4-hot-000144,True,195,2,0.010256410256410256,682.5532913208008,682.5532913208008
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,2,w4-hot-000145,True,227,3,0.013215859030837005,685.4949183762074,685.4949183762074
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,3,w4-hot-000146,True,259,2,0.007722007722007722,720.8366245031357,720.8366245031357
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,4,w4-hot-000147,True,291,2,0.006872852233676976,723.4127968549728,723.4127968549728
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,5,w4-hot-000148,True,323,2,0.006191950464396285,722.745519131422,722.745519131422
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,6,w4-hot-000149,True,355,2,0.005633802816901409,725.9189933538437,725.9189933538437
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,7,w4-hot-000150,True,388,2,0.005154639175257732,736.7800697684288,736.7800697684288
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,8,w4-hot-000151,True,421,2,0.004750593824228029,739.7301606833935,739.7301606833935
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,9,w4-hot-000152,True,454,2,0.004405286343612335,739.3351420760155,739.3351420760155
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,10,w4-hot-000153,True,195,2,0.010256410256410256,684.611514210701,684.611514210701
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,11,w4-hot-000154,True,234,3,0.01282051282051282,688.8876892626286,688.8876892626286
